UNID,PDIR,fullstreet,PBUILD,PSTREET,PSTREETTYPE,PSTREETSUF,PSUITE,PCITY,PSTATE,PCODE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
4C6A719AEE90BC8E8525802C00454713,," Mobile",,Mobile,,,,Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
4C6E8993D6E335E788257441004E5086,,"2111 Wilson Blvd",2111,"Wilson Blvd",,,,Arlington,VA,22201,38.891873,-77.085267,1,rooftop,2111,"Wilson Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
4C8B2B84CE71269C882574BF0067E670,,"5849-A Washington Blvd",5849-A,"Washington Blvd",,,,Arlington,VA,22205,38.885375,-77.140684,0.9,rooftop,5849,"Washington Blvd",Arlington,VA,"Arlington County",22205,US,Arlington
4C9C2D51C52DAA8388256BF8007484BC,,"5995 S 5th Rd",5995,"S 5th Rd",,,,Arlington,VA,22204,38.860335,-77.100868,0.33,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
4CEF62C38C2BDC3388256BF800748428,,"1900 S Eads St (B LEVEL)",1900,"S Eads St (B LEVEL)",,,,Arlington,VA,22202,38.856433,-77.054107,1,rooftop,1900,"S Eads St",Arlington,VA,"Arlington County",22202,US,Arlington
4D5D133829C79F2285257CDF0050D846,," WNA- B-36",,"WNA- B-36",,,,Washington,VA,20001,38.90724,-77.019899,0.9,street_center,,"N St NW",Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
4D77482EB640768D852570F100719C01,,"3110 Lee Hwy",3110,"Lee Hwy",,,,Arlington,VA,22201,38.895758,-77.096978,1,rooftop,3110,"Lee Hwy",Arlington,VA,"Arlington County",22201,US,Arlington
4D9245C98590391F88256BF800748780,,"3450 Washington Blvd",3450,"Washington Blvd",,,,Arlington,VA,22201,38.885644,-77.103069,1,rooftop,3450,"Washington Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
4D9F6DD34F334B7C85257FD4004FEBA8,,"1100 South Hayes St",1100,"South Hayes St",,,,Arlington,VA,22202,38.863731,-77.060561,1,rooftop,1100,"S Hayes St",Arlington,VA,"Arlington County",22202,US,Arlington
4DC2BAEA52106FD085256C2F0056018C,,"928-932 N Kenmore St",928-932,"N Kenmore St",,,,Arlington,VA,22201,38.883907,-77.10075,1,rooftop,932,"N Kenmore St",Arlington,VA,"Arlington County",22201,US,Arlington
4E0369F6713AEAA885257DCE006DEAAE,,"3821 Wilson Blvd 1st, 2nd, 3rd Floor",3821,"Wilson Blvd 1st, 2nd, 3rd Floor",,,,Arlington,VA,22203,38.881055,-77.105108,1,rooftop,3821,"Wilson Blvd",Arlington,VA,"Arlington County",22203,US,Arlington
4E11965640B260A58525768700590C11,,"3003 Columbia Pike",3003,"Columbia Pike",,,,Arlington,VA,22204,38.862546,-77.088122,1,rooftop,3003,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
4E1258FCB2E71DB985257EE5004DC2F6,," Mobile",,Mobile,,,,Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
4E1F7B545946FCB088256BF8007483E1,,"5019 Wilson Blvd",5019,"Wilson Blvd",,,,Arlington,VA,22203,38.878227,-77.121949,1,rooftop,5019,"Wilson Blvd",Arlington,VA,"Arlington County",22203,US,Arlington
4E7617F7590F767885256C7E0064C3A9,,"4536 Lee Hwy",4536,"Lee Hwy",,,,Arlington,VA,22207,38.898431,-77.119181,1,rooftop,4536,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
4E797720AD3717E98525787E004DAA08,,"818 N. Quincy St Suite 102",818,"N. Quincy St Suite 102",,,,Arlington,VA,22203,38.880339,-77.107848,1,rooftop,818,"N Quincy St",Arlington,VA,"Arlington County",22203,US,Arlington
4EA0D83B604D642E8525816300685711,,"2329 S Eads St",2329,"S Eads St",,,,Arlington,VA,22202,38.852669,-77.053214,1,rooftop,2329,"S Eads St",Arlington,VA,"Arlington County",22202,US,Arlington
4EFA3311A3AF675985257E07004E8CF0,,"2503-E N Harrison St",2503-E,"N Harrison St",,,,Arlington,VA,22207,38.897701,-77.138835,0.9,rooftop,2503,"N Harrison St",Arlington,VA,"Arlington County",22207,US,Arlington
4EFA9EDDABDA802285256F03005A7B65,,"1227 N Scott St",1227,"N Scott St",,,,Arlington,VA,22209,38.888623,-77.080325,1,rooftop,1227,"N Scott St",Arlington,VA,"Arlington County",22209,US,Arlington
4FA2329C09C4E07485256C33004DB6F5,,"3870 S Four Mile Run Dr",3870,"S Four Mile Run Dr",,,,Arlington,VA,22206,38.845739,-77.093283,1,rooftop,3870,"S Four Mile Run Dr",Arlington,VA,"Arlington County",22206,US,Arlington
4FC1D14B701238A785257FF1006657E4,,"850 N Randolph St",850,"N Randolph St",,,,Arlington,VA,22203,38.880714,-77.109386,1,rooftop,850,"N Randolph St",Arlington,VA,"Arlington County",22203,US,Arlington
